날짜,요일,식사구분,메뉴번호,메뉴명,음식분류,칼로리(kcal),단백질(g),지방(g),탄수화물(g),나트륨(mg),당류(g),식이섬유(g),콜레스테롤(mg),포화지방(g),원산지,보관방법,알레르기유발물질,비고
2026-01-02,금,석식,7,깍두기,김치류,0,22.2,8.7,5,472,2.7,1.1,2,5.6,국내산,상온보관,"밀,대두,새우",금요특식
2026-01-02,금,석식,8,과일(수박),후식/음료,79,29.8,7.3,5,303,5.8,5.2,71,7.7,국내산,냉장보관,"계란,밀",금요특식
2026-01-03,토,조식,1,콩밥,주식,380,21.3,16.4,36.8,764,4.8,2.4,39,5.7,국내산,상온보관,"난류,대두,밀,새우",
2026-01-03,토,조식,2,콩나물국,국/찌개,54,25.7,18.2,5,528,1.3,1.5,95,6.4,국내산,냉장보관,"밀,계란,대두",
2026-01-03,토,조식,3,돈까스,주찬,228,31.6,19.8,5,702,8.3,1.7,14,5.6,호주산,냉장보관,"난류,밀,대두",
2026-01-03,토,조식,4,파프리카무침,부찬,75,17.9,23.5,5,840,10.2,5.8,106,7.7,국내산,상온보관,없음,
2026-01-03,토,조식,5,버섯볶음,부찬,98,25.1,10.5,5,305,5.5,5,19,4.1,미국산,냉장보관,"밀,대두,새우",
2026-01-03,토,조식,6,보쌈김치,김치류,42,27.6,10.9,5,614,6.1,5.8,4,1.8,국내산,상온보관,우유,
2026-01-03,토,조식,7,갓김치,김치류,-10,24.6,22.7,5,892,7.6,5.6,112,6.4,국내산,냉장보관,"밀,대두,새우",
2026-01-03,토,조식,8,쿨피스,후식/음료,86,13.3,16.1,5,366,14.3,4.7,69,0.9,국내산,냉장보관,없음,
2026-01-03,토,중식,1,흑미밥,주식,321,7.1,3.2,66,761,3,0.7,100,5.1,중국산,냉동보관,없음,
2026-01-03,토,중식,2,설렁탕,국/찌개,68,11.7,18.5,5,893,8.3,5.5,102,1.7,미국산,상온보관,"난류,밀,대두",
2026-01-03,토,중식,3,소불고기,주찬,238,5.6,9.8,31.8,534,1.4,1,60,2.2,중국산,상온보관,"난류,대두,밀,새우",
2026-01-03,토,중식,4,취나물,부찬,69,33.1,11,5,460,10.6,2.2,1,3.4,호주산,상온보관,대두,
2026-01-03,토,중식,5,우엉조림,부찬,90,12.7,4.2,5,606,10.4,2.3,115,0.7,호주산,상온보관,대두,
2026-01-03,토,중식,6,파김치,김치류,27,20.4,17.4,5,638,11.8,2.4,29,3,국내산,상온보관,우유,
2026-01-03,토,중식,7,총각김치,김치류,28,21.7,24.8,5,383,10.2,1.9,83,6.7,국내산,상온보관,대두,
2026-01-03,토,중식,8,아이스크림,후식/음료,119,12.2,15.2,5,593,1.2,2.8,1,7.7,국내산,상온보관,"계란,밀",
2026-01-03,토,석식,1,쌀밥,주식,366,30.2,9.5,39.9,824,6.2,2.7,40,3.5,미국산,냉장보관,"대두,밀",
2026-01-03,토,석식,2,콩나물해장국,국/찌개,91,17.1,13.8,5,165,12.8,1.2,26,7.2,국내산,상온보관,"대두,밀",
2026-01-03,토,석식,3,쇠고기장조림,주찬,271,7.6,8.9,40.1,662,8.1,2.8,6,4.2,국내산,냉동보관,우유,
2026-01-03,토,석식,4,파프리카무침,부찬,79,13.4,9.4,5,466,10.2,1.5,1,0.9,국내산,상온보관,대두,
2026-01-03,토,석식,5,계란부침,부찬,70,20.1,17.5,5,221,11.8,3.5,107,5.4,국내산,상온보관,우유,
2026-01-03,토,석식,6,깍두기,김치류,30,20.3,20.5,5,595,3.7,3,20,6.1,국내산,냉동보관,없음,
2026-01-03,토,석식,7,열무김치,김치류,19,17.6,11.9,5,848,12.2,0.5,89,6.3,국내산,상온보관,"난류,대두,밀,새우",
2026-01-03,토,석식,8,과일(오렌지),후식/음료,116,17.7,10.6,5,765,2.6,1.3,114,4.6,국내산,상온보관,없음,
2026-01-04,일,조식,1,쌀밥,주식,364,28.2,9.3,41.9,150,6.4,4.5,7,4.3,국내산,냉장보관,"난류,대두,밀,새우",
2026-01-04,일,조식,2,부대찌개,국/찌개,105,21.6,23.5,5,574,14,1.5,104,0.6,국내산,상온보관,"난류,밀,대두",
2026-01-04,일,조식,3,계란말이,주찬,245,21.6,24.8,5,308,10.2,3,77,4.6,국내산,냉장보관,없음,
2026-01-04,일,조식,4,파프리카무침,부찬,84,28.5,11.4,5,828,10.4,4.1,120,7.4,국내산,냉동보관,"난류,밀,대두",
2026-01-04,일,조식,5,호박볶음,부찬,55,12.2,19.5,5,335,14.4,3.6,120,5.9,미국산,냉동보관,없음,
2026-01-04,일,조식,6,보쌈김치,김치류,50,7.9,17.6,5,271,4.4,4.3,100,5.2,미국산,상온보관,"난류,대두,밀,새우",
2026-01-04,일,조식,7,오이소박이,김치류,33,8.6,22.3,5,894,7.3,4.2,38,4.9,미국산,냉장보관,없음,
2026-01-04,일,조식,8,수정과,후식/음료,84,24,12.6,5,353,12.9,2.4,103,3.5,국내산,냉동보관,"밀,대두,새우",
2026-01-04,일,중식,1,찰밥,주식,329,24,5.1,46.8,208,10.6,5.7,85,5.7,국내산,냉동보관,"난류,밀,대두",
2026-01-04,일,중식,2,순두부찌개,국/찌개,57,29.4,23.5,5,592,14,4.9,114,2.2,호주산,냉장보관,대두,
2026-01-04,일,중식,3,갈치구이,주찬,252,13.4,16,13.6,210,9,2.9,30,7,중국산,상온보관,"우유,계란",
2026-01-04,일,중식,4,양배추무침,부찬,86,16.2,19.7,5,562,3.7,4.2,3,7.3,국내산,상온보관,없음,
2026-01-04,일,중식,5,버섯볶음,부찬,64,23.8,24.6,5,444,3.1,4.4,105,3.8,국내산,냉장보관,"밀,계란,대두",
2026-01-04,일,중식,6,오이소박이,김치류,-9,21,8.4,5,171,7,3.7,77,0.7,중국산,냉장보관,없음,
2026-01-04,일,중식,7,파김치,김치류,12,9.1,8,5,836,12.7,3.3,14,6,국내산,냉장보관,대두,
2026-01-04,일,중식,8,음료수(포카리),후식/음료,90,17.8,15.4,5,679,7.2,1.5,60,0.8,국내산,상온보관,"난류,대두,밀,새우",
2026-01-04,일,석식,1,찰밥,주식,328,28.7,4.9,42.3,188,9.3,4.7,41,5.2,미국산,상온보관,없음,
2026-01-04,일,석식,2,설렁탕,국/찌개,54,29.7,6.8,5,482,3.7,3.7,101,1.7,국내산,상온보관,없음,
2026-01-04,일,석식,3,닭강정,주찬,247,11.8,12,23,795,7.3,5.3,31,2,국내산,냉장보관,우유,
2026-01-04,일,석식,4,시금치나물,부찬,53,5,19.4,5,309,8.7,1.7,106,5.8,국내산,냉장보관,우유,
2026-01-04,일,석식,5,두부부침,부찬,89,26,23.6,5,342,7.3,3.4,52,4.7,국내산,상온보관,"우유,계란",
2026-01-04,일,석식,6,보쌈김치,김치류,1,32.4,12.2,5,168,12.4,3.7,51,3.4,국내산,냉장보관,"난류,밀,대두",
2026-01-04,일,석식,7,열무김치,김치류,-1,13.6,11.8,5,769,3.4,5,108,1.9,미국산,냉장보관,"계란,밀",
2026-01-04,일,석식,8,수정과,후식/음료,113,6,12.5,5,414,5.7,4.9,1,5.2,미국산,상온보관,없음,
2026-01-05,월,조식,1,쌀밥,주식,351,34.8,21.4,5,336,13.2,4.5,3,6.4,미국산,냉동보관,"우유,계란",
2026-01-05,월,조식,2,육개장,국/찌개,95,5.2,14,5,568,8.9,2,68,7.1,국내산,냉동보관,"밀,대두,새우",
2026-01-05,월,조식,3,삼치구이,주찬,268,17.2,7.7,32.5,580,14.1,0.7,38,2.6,국내산,냉동보관,없음,
2026-01-05,월,조식,4,양배추무침,부찬,37,32.7,9.1,5,218,10.8,5.6,120,2.7,호주산,냉동보관,"밀,계란,대두",
2026-01-05,월,조식,5,연근조림,부찬,94,16.1,18.4,5,663,6.2,3.5,16,6.2,호주산,냉장보관,우유,
2026-01-05,월,조식,6,백김치,김치류,10,14.7,21.7,5,705,3.7,3.9,78,6,중국산,냉동보관,없음,
2026-01-05,월,조식,7,오이소박이,김치류,-12,22.8,19.6,5,815,13.6,1.1,102,8,미국산,냉장보관,"밀,대두,새우",
2026-01-05,월,조식,8,쿨피스,후식/음료,64,24.8,7.9,5,245,2.5,1.7,22,6.8,미국산,냉장보관,"난류,밀,대두",
2026-01-05,월,중식,1,잡곡밥,주식,343,24.7,24.2,6.6,213,6.1,3.5,97,6.5,국내산,상온보관,대두,
2026-01-05,월,중식,2,감자국,국/찌개,84,22.8,5.8,5,372,11.7,5.5,81,4.3,국내산,냉동보관,"난류,밀,대두",
2026-01-05,월,중식,3,생선까스,주찬,236,25.4,7.8,16.1,410,13.6,3.1,77,7.4,국내산,냉장보관,"난류,대두,밀,새우",
2026-01-05,월,중식,4,무생채,부찬,79,13.7,7,5,610,7.9,2.6,44,7,호주산,냉장보관,없음,
2026-01-05,월,중식,5,버섯볶음,부찬,87,26.5,11.4,5,648,5.4,4,47,0.7,호주산,상온보관,없음,
2026-01-05,월,중식,6,파김치,김치류,5,30.2,10.5,5,327,4.4,0.9,24,1.4,미국산,냉동보관,"난류,밀,대두",
2026-01-05,월,중식,7,배추김치,김치류,-6,32.3,12.8,5,742,10.4,5.2,13,2.7,국내산,냉장보관,없음,
2026-01-05,월,중식,8,우유,후식/음료,61,12.2,4.9,5,517,1.2,4.8,30,4.2,국내산,냉장보관,"난류,밀,대두",
2026-01-05,월,석식,1,기장밥,주식,344,12.2,18.4,32.4,803,12.6,1.5,99,6.2,호주산,상온보관,없음,
2026-01-05,월,석식,2,두부된장찌개,국/찌개,103,34,24.5,5,527,3.6,1.9,101,5.4,국내산,상온보관,우유,
2026-01-05,월,석식,3,계란말이,주찬,251,21.5,3.3,33.8,880,4.9,1.4,76,0.5,국내산,상온보관,"계란,밀",
2026-01-05,월,석식,4,당근무침,부찬,34,23.7,6.6,5,626,7.8,3.6,68,6.7,국내산,상온보관,없음,
2026-01-05,월,석식,5,호박볶음,부찬,69,9.1,18.2,5,468,9.3,3,88,1.8,미국산,냉동보관,"우유,계란",
2026-01-05,월,석식,6,오이소박이,김치류,28,19.4,15.8,5,172,10.9,3,4,2.2,중국산,냉장보관,없음,
2026-01-05,월,석식,7,백김치,김치류,-4,13.1,22.2,5,542,5.2,2.5,14,4.6,중국산,상온보관,"난류,밀,대두",
2026-01-05,월,석식,8,쿨피스,후식/음료,74,12.5,5.7,5,889,12.6,1.5,85,6,국내산,상온보관,없음,
2026-01-06,화,조식,1,오곡밥,주식,334,9,21.5,26.1,615,2.9,1.3,27,3.8,중국산,상온보관,대두,
2026-01-06,화,조식,2,부대찌개,국/찌개,59,16.2,21.3,5,797,9.9,4.2,3,5.1,국내산,상온보관,"밀,계란,대두",
2026-01-06,화,조식,3,닭강정,주찬,221,10.4,11.7,18.5,556,5.3,1.2,47,2.7,국내산,냉장보관,없음,
2026-01-06,화,조식,4,취나물,부찬,85,9.9,11.7,5,313,11.5,1.5,30,7,국내산,상온보관,없음,
2026-01-06,화,조식,5,멸치볶음,부찬,81,11.7,8.2,5,372,6.1,1.4,30,6.7,국내산,상온보관,우유,
2026-01-06,화,조식,6,오이소박이,김치류,1,22.3,19.2,5,436,3.2,5.6,109,1.4,중국산,냉장보관,없음,
2026-01-06,화,조식,7,오이소박이,김치류,-1,16.5,21.3,5,226,3.7,4.2,30,2.7,국내산,냉장보관,"밀,대두,새우",
2026-01-06,화,조식,8,두유,후식/음료,76,29,8.8,5,615,4.3,4.2,77,4.7,호주산,상온보관,없음,
2026-01-06,화,중식,1,찰밥,주식,320,30.1,14.4,17.5,607,4.7,3.4,80,2.5,국내산,냉장보관,"우유,계란",
2026-01-06,화,중식,2,삼계탕국물,국/찌개,58,10.1,15,5,483,2.7,1.6,101,6,국내산,냉동보관,우유,
2026-01-06,화,중식,3,오리불고기,주찬,246,16,17.4,6.4,393,14,5.3,79,7.6,미국산,냉장보관,우유,
2026-01-06,화,중식,4,상추무침,부찬,69,20,5.5,5,652,9.7,3.2,114,0.6,국내산,냉동보관,우유,
2026-01-06,화,중식,5,아스파라거스볶음,부찬,55,13.7,16.6,5,565,8.3,5.6,73,3.4,미국산,상온보관,우유,
2026-01-06,화,중식,6,총각김치,김치류,20,23.7,11.7,5,649,1.4,2.1,81,6.7,국내산,냉장보관,"밀,계란,대두",
2026-01-06,화,중식,7,파김치,김치류,5,23.9,7.5,5,175,4.9,2.3,66,1.5,국내산,냉동보관,"대두,밀",
2026-01-06,화,중식,8,젤리,후식/음료,92,8.2,20.1,5,894,3.5,1.4,85,6.2,중국산,냉장보관,"우유,계란",
2026-01-06,화,석식,1,콩밥,주식,371,34.8,19.7,13.6,721,13.8,4.6,48,6.4,국내산,냉동보관,우유,
2026-01-06,화,석식,2,두부된장찌개,국/찌개,63,6,20.7,5,652,12.3,2.3,120,4.7,호주산,냉동보관,대두,
2026-01-06,화,석식,3,어묵볶음,주찬,249,15.2,10.8,22.7,419,9.9,4.3,47,4.4,국내산,냉동보관,"우유,계란",
2026-01-06,화,석식,4,상추무침,부찬,40,26.8,24.4,5,736,13.9,5.8,43,5.3,국내산,냉장보관,없음,
2026-01-06,화,석식,5,양파볶음,부찬,110,11.5,22.5,5,512,11.4,2.9,97,6.5,국내산,상온보관,"밀,대두,새우",
2026-01-06,화,석식,6,갓김치,김치류,1,28.4,13.2,5,404,9.8,3.5,22,0.9,국내산,냉장보관,"대두,밀",
2026-01-06,화,석식,7,갓김치,김치류,28,9.9,8.2,5,572,10.3,6,114,1.9,국내산,상온보관,"밀,대두,새우",
2026-01-06,화,석식,8,과일(수박),후식/음료,110,12.6,17.8,5,328,5.2,1.4,70,4.6,국내산,냉동보관,"계란,밀",
2026-01-07,수,조식,1,찰밥,주식,365,19,5.7,59.4,643,1.7,3.5,62,4.7,호주산,상온보관,없음,
2026-01-07,수,조식,2,소고기뭇국,국/찌개,57,11.8,13.5,5,508,14.9,0.6,118,4.2,호주산,냉장보관,우유,
2026-01-07,수,조식,3,꽁치조림,주찬,232,31.8,15.3,5,213,2.7,2.9,53,3.3,국내산,상온보관,대두,
2026-01-07,수,조식,4,오이무침,부찬,51,26.4,21.9,5,204,4.8,4.5,28,7.4,국내산,상온보관,없음,
2026-01-07,수,조식,5,표고버섯볶음,부찬,85,32.6,22.9,5,363,8.7,2.6,103,5.5,국내산,냉장보관,"난류,밀,대두",
2026-01-07,수,조식,6,석박지,김치류,-5,30.3,5.1,5,574,5,5.7,113,7.5,국내산,냉동보관,없음,
2026-01-07,수,조식,7,오이소박이,김치류,44,5,19.4,5,157,12.5,5.1,25,1.9,호주산,상온보관,없음,
2026-01-07,수,조식,8,요구르트,후식/음료,72,18.9,24.7,5,690,8.7,5.8,83,7.9,미국산,상온보관,"밀,계란,대두",
2026-01-07,수,중식,1,현미밥,주식,370,29.6,16.5,25.8,590,8.3,1.6,69,1.7,호주산,냉장보관,"대두,밀",
2026-01-07,수,중식,2,설렁탕,국/찌개,55,5,9,5,498,1.1,1.8,10,6.3,국내산,냉동보관,"계란,밀",
2026-01-07,수,중식,3,소시지볶음,주찬,241,9.2,5.3,39.1,791,3.4,1,82,3.5,국내산,냉동보관,"난류,대두,밀,새우",
2026-01-07,수,중식,4,양배추무침,부찬,77,22.6,6.7,5,314,2.6,4,15,5,국내산,상온보관,"계란,밀",
2026-01-07,수,중식,5,감자조림,부찬,72,13.2,11.9,5,320,6.8,6,74,3.5,국내산,냉동보관,"난류,밀,대두",
2026-01-07,수,중식,6,깍두기,김치류,26,12.5,3.6,5,529,1,5.6,7,3.7,국내산,상온보관,"밀,계란,대두",
2026-01-07,수,중식,7,오이소박이,김치류,22,6.3,3.3,5,778,10.1,1.1,15,1.7,국내산,냉동보관,대두,
2026-01-07,수,중식,8,식혜,후식/음료,88,22,9.6,5,578,6.8,3.7,116,8,국내산,상온보관,"난류,밀,대두",
2026-01-07,수,석식,1,보리밥,주식,355,29.4,17.3,20.4,366,8.2,2.1,101,4.1,호주산,냉장보관,"계란,밀",
2026-01-07,수,석식,2,두부된장찌개,국/찌개,98,5.8,13.5,5,235,4.9,5.4,94,1.5,호주산,상온보관,"계란,밀",
2026-01-07,수,석식,3,삼치구이,주찬,263,12.2,24.1,5,201,11.5,1.1,110,3.8,국내산,상온보관,"밀,계란,대두",
2026-01-07,수,석식,4,브로콜리무침,부찬,33,32.9,23.5,5,446,4.9,3.1,106,0.8,미국산,냉장보관,없음,
2026-01-07,수,석식,5,표고버섯볶음,부찬,76,13.4,4.5,5,815,11.7,5.1,2,5.7,중국산,상온보관,"난류,대두,밀,새우",
2026-01-07,수,석식,6,갓김치,김치류,32,12.7,14.3,5,746,9.6,1.5,37,0.7,호주산,상온보관,"밀,대두,새우",
2026-01-07,수,석식,7,갓김치,김치류,-11,7.5,5.1,5,828,4.9,2,102,3.5,국내산,냉장보관,없음,
2026-01-07,수,석식,8,푸딩,후식/음료,120,20.6,9.6,5,369,6.7,0.9,102,4.9,국내산,냉장보관,"계란,밀",
2026-01-08,목,조식,1,잡곡밥,주식,336,22,5.8,49,718,1.3,2.3,29,0.6,미국산,냉장보관,"난류,대두,밀,새우",
2026-01-08,목,조식,2,소고기뭇국,국/찌개,59,13.3,7.7,5,632,11.3,2.3,12,3.6,국내산,냉장보관,없음,
2026-01-08,목,조식,3,낙지볶음,주찬,241,11,22.9,5,171,2.7,2.4,116,6.7,중국산,냉장보관,"난류,대두,밀,새우",
2026-01-08,목,조식,4,도라지무침,부찬,37,31.3,9.3,5,511,14.5,2.6,115,8,국내산,상온보관,없음,
2026-01-08,목,조식,5,감자조림,부찬,94,35,6.5,5,211,13.8,2.9,87,4.7,국내산,상온보관,"난류,대두,밀,새우",
2026-01-08,목,조식,6,파김치,김치류,-7,19.7,21.6,5,307,12.1,5.3,109,7.2,중국산,냉장보관,"밀,계란,대두",
2026-01-08,목,조식,7,총각김치,김치류,6,22.4,24.3,5,661,11.3,1.9,96,2.7,국내산,냉동보관,"계란,밀",
2026-01-08,목,조식,8,과일(바나나),후식/음료,111,7.2,10,5,217,7.4,1.4,99,4.9,중국산,상온보관,"난류,대두,밀,새우",
2026-01-08,목,중식,1,팥밥,주식,360,21.8,8,50.2,165,12.3,3.7,60,4.6,국내산,냉장보관,"대두,밀",
2026-01-08,목,중식,2,콩나물국,국/찌개,51,20.9,22.7,5,467,7.3,2.2,71,1.4,미국산,상온보관,"밀,대두,새우",
2026-01-08,목,중식,3,오리불고기,주찬,261,23.7,14.9,8,374,13.4,2.1,117,6.6,미국산,상온보관,우유,
2026-01-08,목,중식,4,상추무침,부찬,85,16.6,12.3,5,398,5.1,3.4,22,2.4,호주산,상온보관,"우유,계란",
2026-01-08,목,중식,5,연근조림,부찬,98,5.5,22.8,5,508,12.2,5.5,109,5.7,국내산,상온보관,"난류,대두,밀,새우",
2026-01-08,목,중식,6,파김치,김치류,18,14.6,4.8,5,264,7,1.4,4,7.8,국내산,냉장보관,"난류,밀,대두",
2026-01-08,목,중식,7,파김치,김치류,6,9.8,9.8,5,675,9.5,6,99,3.2,국내산,상온보관,우유,
2026-01-08,목,중식,8,과일(귤),후식/음료,102,16.5,23.3,5,283,4.5,2.2,18,4.4,국내산,냉장보관,없음,
2026-01-08,목,석식,1,보리밥,주식,326,21,3.8,52,611,4.3,5.5,99,3,국내산,상온보관,없음,
2026-01-08,목,석식,2,순두부찌개,국/찌개,64,16.9,16.9,5,804,9.3,2.4,15,6.3,중국산,상온보관,"계란,밀",
2026-01-08,목,석식,3,삼겹살구이,주찬,233,24,7,18.5,612,5,5.1,13,5.6,국내산,상온보관,없음,
2026-01-08,목,석식,4,상추무침,부찬,76,22.3,21.3,5,368,10.6,3.3,56,4.6,국내산,냉장보관,없음,
2026-01-08,목,석식,5,계란부침,부찬,65,10.6,18.5,5,760,1.5,5.3,88,1.5,국내산,냉동보관,없음,
2026-01-08,목,석식,6,석박지,김치류,6,29.9,16.8,5,333,2.4,3.5,53,5.9,호주산,냉장보관,"계란,밀",
2026-01-08,목,석식,7,백김치,김치류,44,10.4,16.2,5,278,3.8,4,65,0.7,호주산,상온보관,없음,
2026-01-08,목,석식,8,과일(귤),후식/음료,66,30.3,23.5,5,493,7.4,5.8,66,4.5,미국산,냉동보관,"우유,계란",
2026-01-09,금,조식,1,보리밥,주식,336,33.5,19.9,5.7,458,6.1,4.7,113,5.5,국내산,상온보관,"우유,계란",
2026-01-09,금,조식,2,설렁탕,국/찌개,100,29,8.7,5,726,6.9,2.9,19,7.2,국내산,냉장보관,"밀,계란,대두",
2026-01-09,금,조식,3,닭갈비,주찬,253,23.5,24.4,5,434,11.8,2.1,37,0.5,호주산,상온보관,없음,
2026-01-09,금,조식,4,숙주나물,부찬,33,12.3,22.5,5,386,9.9,1.3,14,5.2,국내산,냉동보관,"대두,밀",
2026-01-09,금,조식,5,풋고추볶음,부찬,107,22.7,23.3,5,660,2,0.8,46,1.3,호주산,냉동보관,없음,
2026-01-09,금,조식,6,석박지,김치류,2,19,14,5,450,1.7,4.9,92,6.9,미국산,냉동보관,우유,
